description,result,quarter,x_loc,y_loc,ball_handler
J.J. Redick  misses 24-foot three point jumper,missed,1,92.22222222222223,2,Redick
Chris Paul makes 18-foot two point shot,made,1,75.55555555555556,28.999999999999996,Paul
Blake Griffin makes 2-foot two point shot,made,1,94.44444444444444,24,Griffin
Chris Paul  misses 26-foot three point shot,missed,1,67.77777777777777,18,Paul
DeAndre Jordan makes two point shot,made,1,82.22222222222223,26,Jordan
J.J. Redick makes 15-foot jumper (Blake Griffin assists),made,1,92.22222222222223,40,Redick
J.J. Redick makes 21-foot jumper (Chris Paul assists),made,1,82.22222222222223,42,Redick
Chris Paul makes 5-foot two point shot,made,1,90,23,Paul
J.J. Redick makes 25-foot  three point jumper  (Chris Paul assists),made,1,83.33333333333334,2,Redick
Chris Paul  misses 25-foot three point jumper,missed,1,68.88888888888889,16,Paul
J.J. Redick  misses 25-foot three point jumper,missed,1,76.66666666666667,7,Redick
Blake Griffin makes 17-foot jumper (J.J. Redick assists),made,1,84.44444444444444,11,Griffin
DeAndre Jordan makes two point shot (Chris Paul assists),made,1,95.55555555555556,25,Jordan
Chris Paul makes 14-foot two point shot,made,1,84.44444444444444,34,Paul
Chris Paul makes driving layup,made,1,95.55555555555556,25,Paul
Blake Griffin  misses 4-foot hook shot,missed,1,92.22222222222223,23,Griffin
Jamal Crawford  misses 18-foot jumper,missed,1,77.77777777777777,16,Crawford
Jamal Crawford makes 11-foot jumper (Cole Aldrich assists),made,1,84.44444444444444,20,Crawford
Pablo Prigioni makes 26-foot  three point jumper,made,1,66.66666666666667,27,Prigioni
Cole Aldrich  misses hook shot,missed,1,90,25,Aldrich
Paul Pierce  misses 25-foot three point jumper,missed,1,72.22222222222223,13,Pierce
Lance Stephenson  misses 18-foot jumper,missed,2,80,35,Stephenson
Jamal Crawford makes 15-foot two point shot (Paul Pierce assists),made,2,92.22222222222223,40,Crawford
Paul Pierce  misses jumper,missed,2,95.55555555555556,12,Pierce
Jamal Crawford  misses 19-foot jumper,missed,2,75.55555555555556,22,Crawford
Paul Pierce  misses 24-foot three point jumper,missed,2,74.44444444444444,40,Pierce
Lance Stephenson  misses 25-foot three point jumper,missed,2,68.88888888888889,33,Stephenson
Cole Aldrich  misses layup,missed,2,95.55555555555556,22,Aldrich
Jamal Crawford makes 14-foot two point shot (Paul Pierce assists),made,2,82.22222222222223,18,Crawford
Wesley Johnson  misses three point jumper,missed,2,96.66666666666667,48,Johnson
Jamal Crawford  misses 16-foot two point jumper,missed,2,78.88888888888889,27,Crawford
Chris Paul makes 19-foot jumper,made,2,84.44444444444444,9,Paul
Chris Paul makes 12-foot jumper,made,2,83.33333333333334,20,Paul
Wesley Johnson makes 25-foot  three pointer  (Chris Paul assists),made,2,73.33333333333333,40,Johnson
Blake Griffin  misses 10-foot,missed,2,88.88888888888889,17,Griffin
J.J. Redick  misses 21-foot jumper,missed,2,80,10,Redick
Blake Griffin  misses 6-foot hook shot,missed,2,93.33333333333333,19,Griffin
Blake Griffin makes layup,made,2,95.55555555555556,26,Griffin
Chris Paul  misses 15-foot two point jumper,missed,2,82.22222222222223,34,Paul
Blake Griffin  misses 5-foot jumper,missed,2,93.33333333333333,28.999999999999996,Griffin
DeAndre Jordan  misses alley oop dunk shot,missed,2,95.55555555555556,25,Jordan
Chris Paul makes 12-foot two point shot (Blake Griffin assists),made,2,94.44444444444444,37,Paul
Blake Griffin  misses 11-foot two point shot,missed,2,85.55555555555556,19,Griffin
DeAndre Jordan makes two point shot,made,2,95.55555555555556,25,Jordan
Chris Paul makes 6-foot two point shot,made,2,93.33333333333333,31,Paul
Luc Richard Mbah a Moute makes 22-foot  three point jumper  (Blake Griffin assists),made,2,94.44444444444444,47,Mbah a Moute
Blake Griffin makes two point shot (J.J. Redick assists),made,3,3.3333333333333335,24,Griffin
Luc Richard Mbah a Moute  misses three point jumper,missed,3,3.3333333333333335,3,Mbah a Moute
Blake Griffin  misses 17-foot step back jumpshot,missed,3,14.444444444444443,10,Griffin
Chris Paul  misses 14-foot two point jumper,missed,3,6.666666666666667,11,Paul
Luc Richard Mbah a Moute makes  three point jumper  (Blake Griffin assists),made,3,4.444444444444445,48,Mbah a Moute
DeAndre Jordan makes two point shot (Chris Paul assists),made,3,4.444444444444445,25,Jordan
J.J. Redick  misses 26-foot three point jumper,missed,3,26.666666666666668,8,Redick
J.J. Redick  misses two point shot,missed,3,10,25,Redick
